OpenBoxes PID ,Nom du Produit
RE86,"Calcium gluconate, 100mg/mL, 10mL ampoule "
TN96,"Captopril, 25 mg, tablet "
HQ22,"Carbamazepine, 100 mg/5 mL suspension, 150 mL bottle "
XN53,"Carbamazepine, 200 mg, film coated tablet "
RY06,"Carbidopa-Levodopa, 25/250mg, tablet "
QM56,"Carvedilol, 12.5mg, tablet "
ZQ31,"Cefalexin, 125mg/5mL suspension, 100mL bottle "
YA29,"Cefalexin, 500 mg, capsule "
CG87,Cefazolin 1 gram for injection 
BA37,"Cefixime, 400mg, film coated tablet "
UK22,"Cefotaxime sodium, 1 gram,  powder for injection "
DX45,"Ceftriaxone, 1 gram, powder for injection "
SA96,"Ceftriaxone, 250 mg, powder for injection "
UF02,"Cetirizine di-hydrochloride, 10 mg, film coated tablet "
GS27,"Charcoal, activated, 50 gram powder for suspension, 400 mL bottle "
YF48,"Chloramphenicol sodium succinate, 1 g base, powder for injection "
HE94,"Chloramphenicol, 1% eye ointment, 5 gram tube "
MM25,"Chloramphenicol, 125 mg/ 5 mL oral suspension, 100 mL bottle "
KF03,"Chloramphenicol, 250 mg, capsule "
BK87,"Chlorhexidine gluconate, 20% solution, 5 liter can "
DP16,Chloroquine phosphate 242 mg (150 mg base) tablet 
UU07,"Chloroquine phosphate, 50 mg base/5 mL syrup, 60 mL bottle "
FH39,"Chlorpromazine hydrochloride, 25 mg, coated tablet "
SN45,"Cimetidine, 100 mg/mL, 2 mL ampoule "
ED32,"Cimetidine, 200 mg, tablet "
VB45,"Ciprofloxacin, 500 mg, film coated tablet "
YZ58,"Clarithromycin, 500 mg, tablet "
SJ98,"Clindamycin hydrochloride, 150 mg, capsule "
AU86,"Clindamycin phosphate, 150 mg base /mL, 4 mL ampoule "
YZ76,"Clopidogrel, 75mg, film coated tablet "
ZN52,"Clotrimazole, 1% cream, 20 gram tube "
ZB53,"Clotrimazole, 500 mg, vaginal tablet with applicator "
BP82,"Cloxacillin, 125 mg/5mL powder for oral solution, 100mL bottle "
DE10,"Cloxacillin, 500 mg, capsule "
GG13,"Codeine phosphate, 15mg, tablet"
HU44,"Codeine phosphate, 2.5mg/mL, 100mL, bottle"
KE05,"Codeine phosphate, 30mg, tablet"
VT50,"Co-trimoxazole, 240 mg/5 mL powder for suspension, 100 mL bottle "
ZA76/SR89,"Co-trimoxazole, 800 mg+160 mg, tablet "
VZ14,"Co-trimoxazole, 96 mg/mL, 5 mL ampoule "
YF95,"Dapsone, 50 mg, tablet "
YY57,"Dexamethasone 0.1 %/polymyxin B/neomycin sulphate 1 % ear-drops, 10.5 mL bottle"
CP79,"Dexamethasone sodium phosphate, 0.1% eye drops, 5 mL bottle "
PR20,"Dexamethasone sodium phosphate, 4 mg/mL, 1 mL ampoule "
JJ76,"Dextran '70' 0.1% / hypromellose 0.3 %, eye-drops, 15 mL bottle "
FJ52,"Dextrose 5 % in sodium chloride 0.45 %, intravenous infusion, 500 mL bottle "
JP56,"Dextrose 5 %, intravenous infusion, 1000 mL bottle "
VM09,"Dextrose 5 %, intravenous infusion, 500 mL bottle "
BQ71,"Dextrose, 10 % intravenous infusion, 500 mL bottle "
HA07,"Dextrose, 50 % in water, 50 mL vial "
MD24,"Diazepam, 5 mg, tablet "
HD34,"Diazepam, 5mg/mL, 2mL, ampoule"
MK84,"Diclofenac sodium, 25 mg/mL, 3mL ampoule "
GS93,"Digoxin, 250 microgram, tablet "
BD97 (QH10),"Digoxin, 250 microgram/mL, 2mL ampoule "
SH92,"Digoxin, 50 microgram/mL elixir, 60 mL bottle "
QR49,"Diltiazem hydrochloride, 5mg/mL, 1mL ampoule"
BT58,"Diphenhydramine hydrochloride, 50mg/mL, 1mL ampoule"
YY23,"Diphenhydramine hydrochloride, 25 mg, tablet "
FA02,"Docusate sodium, 50 mg, tablet "
UU58,"Dopamine hydrochloride, 40 mg/ mL, 5mL ampoule "
KT19,"Doxycycline, 100mg, tablet "
PT61,"Enalapril maleate, 5 mg, tablet "
XE60,"Enoxaparin 100 mg/ml, 1 ml prefilled syringe (clexane)"
GP71,"Ephedrine hydrochloride, 30 mg/mL, 1 mL ampoule "
BV29,"Ergometrine maleate, 500 microgram, tablet"
RZ46,"Erythromycin 125 mg/ 5 mL, powder for suspension, 100 mL bottle "
TS73,"Erythromycin sterate,  500 mg, film coated tablet "
ZV56,"Etomidate, 2 mg/mL, 10 mL ampoule "
FE57,"Fentanyl hydrogen citrate, 50 micrograms/mL, 2mL, ampoule"
KV27,"Fentanyl, 25 microgram/hour, transdermal patch"
JH38,"Ferrous sulphate 200 mg + folic acid 250 microgram, tablet "
ST04,"Ferrous sulphate, 200 mg (40 mg Fe)/5 mL oral solution, 100 mL bottle "
AK60,"Fluconazole, 200 mg, tablet "
YK08,"Fluconazole, 200 mg/5 mL powder for suspension, 35 mL bottle "
FT24,"Flumazenil, 100 microgrmas /mL, 5 mL ampoule "
KG28,"Fluoxetine hydrochloride, 20 mg, capsule "
CP21,"Fluoxetine hydrochloride, 20 mg, scored tablet  "
EN02,"Folic acid, 5 mg, tablet "
YG28 ,"Furosemide, 10 mg/ mL, 2mL ampoule "
MH02,"Furosemide, 40 mg, tablet "
EP56,"Furosemide, 50mg/5 mL oral solution, 150 mL bottle "
GU88,"Gabapentin, 100mg,  capsule "
ZH44,"Gabapentin, 400mg,  capsule "
BH43,"Gelatine modified, 4%, 500mL bag"
EV06,"Gentamicin sulphate, 0.5 % (0.3 % base), eye/ear drops, 10 mL bottle "
BN13,"Gentamicin, 40 mg/mL, 2mL ampoule "
HK55,"Gentian violet crystals, 25 gram, container "
MS98,"Glibenclamide, 5 mg, tablet "
XK10,"Glucagon hydrochloride, 1 mg, + syringe + solvent, 2.5 mL vial"
TJ04,"Glutaraldehyde, 2% + activator, 5 liter can "
JT59,"Glycerin, 2 gram, suppository "
BP63,"Glycopyrronium  bromide, 200micrograms/mL, 3 mL ampoule "
VA15,"Griseofulvin, 125 mg, tablet "
XF53,"Griseofulvin, 500 mg, tablet "
KS06,"Haloperidol, 1mg, tablet "
YQ12,"Haloperidol, 5 mg, tablet "
EU83,"Haloperidol, 5 mg/mL, 1 mL ampoule "
TS48,"Heparin sodium, 5,000 international units/mL, 5 mL ampoule "
FQ12,"Hydralazine hydrochloride, 20 mg, powder for injection "
EN77,"Hydralazine hydrochloride, 25 mg, tablet "
GT60,"Hydrochlorothiazide, 25 mg, tablet "
XK47,"Hydrocortisone acetate, 1%, cream, 15 gram tube "
QF79,"Hydrogen peroxide topical, 3%, 500mL bottle "
JK14,"Hydroxycarbamide, 500mg, tablet "
TF88,"Hyoscine butylbromide, 10 mg, film coated tablet "
JQ38,"Hyoscine butylbromide, 20 mg/mL, 1 mL ampoule "
ZC70,"Hyoscine butylbromide, 1.5 mg, patch"
GG30,"Ibuprofen, 100mg/5mL , 100mL bottle "
DF06,"Ibuprofen, 400 mg, tablet "
JV84,"Imiquimod, 5% cream, 500mg sachet"
YC07,"Insulin mixtard (30/70) 100 internatinal units/mL, 10 mL vial"
HA81,"Insulin neutral (human) 100 internatinal units/mL, 10 mL vial"
MA41,"Insulin NPH (human) 100 internatinal units/mL, 10 mL vial"
MM46,"Iodized oil, 200 mg, capsule "
RQ63,"Ipratropium bromide, 250 microgram/mL solution for nebuisation, 2mL ampoule "
XN57,"Iron dextran, 50 mg /mL, 2mL ampoule "
EC05,"Isoflurane, 250 mL, bottle "
CZ30,"Isosorbide dinitrate, 20 mg, extended release tablet "
BU64,"Isosorbide dinitrate, 5mg, sublingual tablet "
HG25,"Ketamine hydrochloride, 50mg/mL, 10mL, vial"
DK25,"Labetolol, 5mg/mL, 20mL vial "
DX86,"Lactulose, 3.33 g/5 mL syrup, 500 mL bottle  "
XH01,"Levothyroxine sodium, 100 microgram, tablet "
VZ03,"Levothyroxine sodium, 25 microgram, tablet"
TR97,"Lidocaine hydrochloride, 1%, 20 mL vial"
KP69,"Lidocaine hydrochloride, 1%, with adrenaline 1:200,000,  20 mL vial"
XH23,"Lidocaine hydrochloride, 2% topical gel, 30 gram tube"
JG33,"Lisinopril, 20mg, tablet"
BC88,"Lisinopril, 5mg, tablet"
KG59,"Loperamide hydrochloride, 2 mg, tablet"
MB19,"Lubricant jelly, 45 gram, tube"
PA07,"Magnesium carbonate 11.57 g/citric acid 17.79 g, effervescent powder, 29.5 gram sachet"
UJ43,"Magnesium sulphate, 500 mg/mL (50 %), 10 mL ampoule"
AA68,"Magnesium trisilicate 250 mg/aluminium hydroxide 120 mg, tablet"
NU92,"Mannitol, 20% solution, 500 mL bottle"
ER46,"Mebendazole, 100 mg, tablet"
FS17,"Metformin hydrochloride, 500 mg, tablet"
EE85,"Methyldopa, 250 mg, film coated tablet"
TY23,"Methylergometrine maleate, 200 microgram/mL, 1 mL ampoule"
JT62,"Methylprednisolone sodium succinate, 125 mg + solvent, powder for reconstitution"
MA81,"Metoclopramide hydrochloride, 5 mg/mL, 2 mL ampoule"
ZQ21,"Metoprolol succinate tartrate, 25 mg, extended release tablet"
FQ73,"Metoprolol tartrate, 1 mg/mL, 5 mL ampoule "
TH07,"Metoprolol tartrate, 50 mg, tablet"
CH08,"Metronidazole 125 mg/ 5 mL, powder for suspension, 100 mL bottle"
GF97,"Metronidazole, 250 mg, tablet"
JZ99,"Metronidazole, 5 mg/mL, 100 mL bottle for intravenous infusion"
VQ61,"Metronidazole, 500 mg, vaginal tablet"
ZV27,"Miconazole nitrate 2 % cream, 30 gram tube"
UH31,"Midazolam hydrochloride 5 mg base/mL, 1 mL ampoule"
NT67,"Misoprostol, 100 microgram, tablet"
DR63,"Misoprostol, 200 microgram, tablet"
TH41,"Montelukast sodium, 10 mg, tablet"
ZJ99,"Morphine hydrochloride, 10mg/mL, 1mL ampoule"
XJ18,"Morphine sulphate, 15mg, immediate release tablet"
FF51,"Morphine sulphate, 30mg, extended release tablet"
MY57,"Multivitamin syrup, 100mL bottle"
FX57,"Multivitamin, coated tablet"
GQ07,"Naloxone hydrochloride, 400microgram/mL, 1 mL ampoule"
JZ92,"Neostigmine methylsulphate, 500 micrograms /mL, 1 mL ampoule"
AB45,"Nifedipine, 20 mg, extended release tablet"
UN82,"Nitroglycerin, 1 mg/mL, 50 mL vial"
RE08,"Nitroglycerin, 500 microgram, tablet"
JV28,"Noradrenaline acid tartrate, 1 mg base/mL, 1 mL ampoule"
KR58,"Nystatin, 100,000 internatinal units, vaginal inserts"
XD12,"Nystatin, 100,000 international units/mL oral suspension, 30 mL bottle"
MH90,"Ofloxacin, 0.3 % eye-drops, 5 mL bottle"
JV06,"Omeprazole, 20 mg, gastro-resistant capsule"
HG92,"Ondansetron hydrochloride, 2 mg/mL base, 2 mL ampoule"
EH80,"Ondansetron, 4mg, tablet film coated tablet"
ZJ48,"Oral rehydration salts (ORS), 20.5 gram (for 1 litre) sachet"
NZ78,"Oxymetazoline, 0.05% nasal spray, 15mL bottle"
EB29,"Oxytocin, 10 international units/mL, 1 mL ampoule"
GA71,"Paracetamol, 100 mg, suppository"
PU86,"Paracetamol, 120 mg/ 5 mL oral solution, 100mL bottle "
GD15,"Paracetamol, 500mg, tablet"
SN17,"Permethrin, 1% lotion, 100 mL bottle "
YJ64,"Phenobarbital, 50mg, tablet"
JX27,"Phenobarbitone sodium 100 mg/mL, 2 mL ampule "
YS69,"Phenoxymethylpenicillin, 250 mg, tablet"
ZN58,"Phenylephrine hydrochloride, 10 mg/mL, 1 mL ampoule"
HH76,"Phenytoin sodium, 100 mg, coated tablet"
DR53,"Phenytoin sodium, 50 mg base/mL, 5 mL ampoule"
CM47,"Pilocarpine, 2% eye drops, 10mL bottle"
CN90,"Potassium chloride, 100mg / mL, 10mL ampoule"
ZU96,"Potassium chloride, 600 mg, slow release tablet"
RB24,"Povidone iodine 10 % solution, 200 mL bottle"
GS65,"Prednisolone, 5 mg, tablet"
VK90,"Promethazine hydrochloride, 25 mg, coated tablet"
ED92,"Promethazine hydrochloride, 25 mg/mL, 2 mL ampoule"
TY10,"Promethazine hydrochloride, 5 mg/5 mL oral solution, 100 mL bottle"
FS82,"Propofol 10 mg/mL, 20 mL ampoule"
EZ63,"Propranolol hydrochloride, 40 mg, tablet"
HC56,"Propranolol hydrochloride 40mg/5mL, oral solution, 150 mL bottle"
GX08,"Protamine sulphate 10 mg/mL, 5 ml ampoule"
PH37,"Ranitidine hydrochloride 25 mg base/mL, 2 mL ampoule"
KM45,"Ranitidine hydrochloride 75 mg/5 mL oral suspension, 300 mL bottle"
DD09,"Ranitidine, 150 mg, film coated tablet "
MT73 (UK90/EZ62),"Ringer's lactate, intravenous infusion, 1000 mL bottle"
SA57,"Ringer's lactate, intravenous infusion, 500 mL bottle"
DN79,"Risperidone, 1mg, tablet"
VG31,"Risperidone, 3mg, tablet"
YZ89,"Salbutamol sulphate, 5mg base/mL, 30mL inhaling solution"
AA55,"Salbutamol, 100 microgram/dose, 200 doses, inhaler"
QE56,"Senna, 7.5 mg, tablet"
TV58,"Sevoflurane 250mL, bottle"
YJ84,"Silver sulphadiazine, 1 % cream, 500gram tube"
VV55,"Silver sulphadiazine, 1 % cream, 50gram jar"
UP04,"Simvastatin, 20mg, tablet"
RG31,"Sodium bicarbonate, 8.4 %, 20 mL ampoule"
AX66,"Sodium chloride, 0.9 % intravenous infusion, 1000 mL bottle"
PB03,"Sodium chloride, 0.9 % intravenous infusion, 500 mL bottle "
VD80,"Sodium polystyrene sulphonate, 454 gram, container "
NH89,"Sodium valproate, 200 mg, enteric coated tablet"
ZH91,"Sodium valproate, 500 mg, enteric coated tablet"
PB77,"Sodium valproate, 57.64 mg/mL syrup, 150 mL bottle"
RD98,"Spironolactone, 25mg, tablet"
PB77,"Suxamethonium chloride, 50 mg/mL, 2 mL ampoule "
VA61,"Tetanus antitoxin (equine origin) 1,500 international units/mL, 1 mL ampoule"
JY86,"Tetanus immunoglobulin (human) 250 internatinal units/mL, 1 mL vial"
RU94,"Tetracaine hydrochloride, 0.5 % eye-drops, 10 mL"
ED93,"Tetracycline hydrochloride 1% eye ointment, 5 gram tube"
CN44,"Thiopentone sodium, 500 mg, vial"
SF06,"Timolol 0.25%, eye-drops, 5 mL bottle"
JM80,"Tramadol hydrochloride, 50 mg/mL, 2 mL ampoule"
QB21,"Tramadol hydrochloride, 50mg, capsule"
HR17,"Trihexyphenidyl, 5 mg, tablet"
HN54,"Tropicamide, 0.5 % eye-drops, 5 mL bottle"
SH32,"Vasopressin 20 internatinal units/mL, 1 mL ampoule"
RQ91,Vecuronium bromide 4 mg + 1 mL solvent
VN08,"Vitamin A 200,000 UI /Vitamin E 40 international units, "
DB46,"Vitamin B-1, 100 mg, tablet"
RU13,"Vitamin B-1, 50 mg/mL, 2 mL ampoule"
TH19,"Vitamin B-12, 500 microgram/mL, 2 mL ampoule"
ZG36,"Vitamin B-6, 50 mg, tablet"
AK74,"Vitamin B coumpund, tablet"
FU11,"Vitamin C, 250 mg, tablet"
ZS33,"Vitamin K-1, 10 mg/mL, 1 mL ampoule"
TJ47,"Water for injection, 10mL ampoule"
ZN40,"Warfarin, 1 mg, tablet"
QU01,"Warfarin, 5 mg, tablet"
NR89,"Zinc oxide, 10 % ointment, 100 gram tube"
