UUID,OpenBoxes PID ,Nom du Produit,Concept mapping,"Dosage Form (Tablet, etc)"
62da0cff-cf75-4227-93e2-6f80182c5bf0,HE14,"Anti-rabies serum, 1,000 international units/5mL, vial",CIEL:162139,
24e44864-7ab3-4919-8e75-004b838ae06c,CK73,"Anti-rabies vaccine, on vero cells, single dose + diluent ",PIH:413,
2f8d7a99-d4ec-4ad7-b898-1c953cb332fd,NP66,"Atenolol, 50 mg, tablet ",PIH:3186,
adc9c526-3461-46b1-8750-89553dc3baf1,KA10,"Atropine sulphate, 1 mg/mL, 1 mL ampoule ",PIH:4033,
f0c69cf7-62a4-4571-be0b-531d966239d8,EJ07,"Atropine sulphate, 1% eye drops, 10 mL bottle ",PIH:4033,
d743d032-ae8e-48bb-918f-774b1792668c,RJ01,"Azithromycin, 250mg, film coated tablet",PIH:735,
a9d56315-5c8d-4442-83ed-563ef2fa3171,JU31,"Beclomethasone, 250microgram/dose, 200 dose inhaler  ",PIH:1240,
0dfc00d1-394a-4dd4-9a56-8b00513fce21,ZF54,"Beclomethasone, 50microgram/dose, 200 dose inhaler  ",PIH:1240,
ab912f78-2112-4e87-aca7-1ded71e8a04b,DV20 (QZ99),"Benzathine benzylpenicillin, 2.4 million international units, powder for injection",PIH:4034,
289d9476-1bcc-4250-a04e-934c1b212119,YY55,"Benzoic acid 6% + salicylic acid 3%, ointment, 40 gram tube ",CIEL:72050,
922bfb9f-3db1-45b3-92b1-d1218b49eedd,KE33,"Benzylbenzoate, 25% application, 1000 mL bottle ",PIH:409,
2896a1ad-f576-4073-875e-835d40d70548,BH72,"Benzylpenicillin, 5 million international units, powder for injection ",PIH:4034,
59ce106d-d9a9-4366-abff-97abb6ff8f9a,YY11,"Bisacodyl, 5mg, enteric coated tablet ",PIH:4042,
d01b0560-e426-49ca-a542-6cdf1a5b9135,PJ13,"Bupivacaine hydrochloride 0.5 % + adrenaline 1:200,000, 20 mL vial ",CIEL:72506,
092e5c8f-3a7d-4c2a-8e26-71496e6f47e0,SV15,"Bupivacaine hydrochloride 0.5 % + dextrose monohydrate 8 %, 4 mL ampoule ",CIEL:72506,
f093f9ed-e182-4430-944a-65eb5999d79a,QK92,"Bupivacaine hydrochloride, 0.5 %, 20 mL vial ",CIEL:72506,
c7ac13a0-ca3e-4765-b08a-e47749964d5a,FV17,"Caffeine citrate, 20 mg/mL, 1 mL ampoule, for injection/oral solution ",CIEL:72610,
78a5211c-c325-4602-90e0-fcf5a0101a9e,RE86,"Calcium gluconate, 100mg/mL, 10mL ampoule ",PIH:4035,
7134a5ba-2033-4833-a1ac-d256fd005932,TN96,"Captopril, 25 mg, tablet ",PIH:3182,
29c41917-38b4-492b-8181-0945c171a72d,HQ22,"Carbamazepine, 100 mg/5 mL suspension, 150 mL bottle ",PIH:920,
e371d811-d32c-4f6e-8493-2fa667b7b44c,XN53,"Carbamazepine, 200 mg, film coated tablet ",PIH:920,
ed2ebd08-2f59-4f74-80ad-d69d123035ee,RY06,"Carbidopa-Levodopa, 25/250mg, tablet ",PIH:4049,
d809f82b-7612-4da2-b075-531f586bdd7c,QM56,"Carvedilol, 12.5mg, tablet ",PIH:3185,
e0d969cc-729a-4e17-90bf-7083d96cf13e,ZQ31,"Cefalexin, 125mg/5mL suspension, 100mL bottle ",CIEL:73087,
4c908591-3adf-4601-b61c-4faddffbee56,YA29,"Cefalexin, 500 mg, capsule ",CIEL:73087,
6892e662-7300-4604-8354-890131ab0e65,CG87,Cefazolin 1 gram for injection ,CIEL:72998,
fd576d2f-1472-47d8-b925-3cebeb5b1c44,BA37,"Cefixime, 400mg, film coated tablet ",PIH:963,
2a127ae1-6d01-4497-8a61-d392cdd26f2e,UK22,"Cefotaxime sodium, 1 gram,  powder for injection ",CIEL:73019,
b697554f-491b-4ad4-a259-bb2f4f1d16a3,DX45,"Ceftriaxone, 1 gram, powder for injection ",PIH:496,
38562c47-96f5-4092-a552-d47cb84ebaaf,SA96,"Ceftriaxone, 250 mg, powder for injection ",PIH:496,
199bd4a3-b4ab-4bcc-bb1d-52d4e270bf71,UF02,"Cetirizine di-hydrochloride, 10 mg, film coated tablet ",CIEL:73137,
cab79287-0da2-4168-947a-4946be6bb2fb,GS27,"Charcoal, activated, 50 gram powder for suspension, 400 mL bottle ",PIH:2938,
57e41df2-d64c-4316-a4e4-35613bd36a35,YF48,"Chloramphenicol sodium succinate, 1 g base, powder for injection ",CIEL:73241,
d8283445-07f9-4af6-ac73-ffe4818a66b5,HE94,"Chloramphenicol, 1% eye ointment, 5 gram tube ",PIH:266,
203e9c50-ff86-44f7-8725-b8c5c475bd23,MM25,"Chloramphenicol, 125 mg/ 5 mL oral suspension, 100 mL bottle ",PIH:266,
a94cfca9-e230-4909-af46-106ef5034cac,KF03,"Chloramphenicol, 250 mg, capsule ",PIH:266,
e5d2f383-45c1-48be-92ef-19ca79da5240,BK87,"Chlorhexidine gluconate, 20% solution, 5 liter can ",CIEL:73265,
a0b5fc86-543f-4162-93a7-8936a565a172,DP16,Chloroquine phosphate 242 mg (150 mg base) tablet ,PIH:98,
435e052b-fbc9-4a7d-ab29-e5201462e4a1,UU07,"Chloroquine phosphate, 50 mg base/5 mL syrup, 60 mL bottle ",PIH:98,
6a2a96d1-c01f-48d3-b3b9-2741bce4e064,FH39,"Chlorpromazine hydrochloride, 25 mg, coated tablet ",CIEL:73331,
5ab732e1-b43a-4355-b65d-619bd7526ee1,SN45,"Cimetidine, 100 mg/mL, 2 mL ampoule ",PIH:2293,
ef96f590-2cc3-469e-9b82-072fef563b9e,ED32,"Cimetidine, 200 mg, tablet ",PIH:2293,
2a885fd0-f8c9-43fb-883b-fe25d5769338,VB45,"Ciprofloxacin, 500 mg, film coated tablet ",PIH:740,
a6dcd1f5-b2c8-4d11-880a-2354130d3494,YZ58,"Clarithromycin, 500 mg, tablet ",PIH:2459,
607395f4-e734-44a2-82d1-08784abfebe6,SJ98,"Clindamycin hydrochloride, 150 mg, capsule ",CIEL:73547,
4b59080e-1a52-42b0-b996-6903faf0c1e4,AU86,"Clindamycin phosphate, 150 mg base /mL, 4 mL ampoule ",CIEL:73550,
8d7c8333-43f2-4e81-9923-14cdd790dcc3,YZ76,"Clopidogrel, 75mg, film coated tablet ",CIEL:73602,
5e11cd96-3277-4a74-968e-1aa3d3312e6c,ZN52,"Clotrimazole, 1% cream, 20 gram tube ",PIH:960,
b3bd154a-2f64-451a-bde4-f38be72b72ce,ZB53,"Clotrimazole, 500 mg, vaginal tablet with applicator ",PIH:960,
17363524-1c69-443b-98a0-7bf538c05ff5,BP82,"Cloxacillin, 125 mg/5mL powder for oral solution, 100mL bottle ",PIH:922,
6280e6c2-03e7-4d79-aede-bc61ceaf4185,DE10,"Cloxacillin, 500 mg, capsule ",PIH:922,
b3910fb7-2b17-44e6-8a52-8543af46c935,VT50,"Co-trimoxazole, 240 mg/5 mL powder for suspension, 100 mL bottle ",PIH:916,
85153088-b868-4723-aacd-27f25f121685,ZA76/SR89,"Co-trimoxazole, 800 mg+160 mg, tablet ",PIH:916,
7f6185cd-e9b7-43ab-bb52-45e238d95e14,VZ14,"Co-trimoxazole, 96 mg/mL, 5 mL ampoule ",PIH:916,
5ec5ec2a-8641-4254-a2fb-157517e7f86e,GG13,"Codeine phosphate, 15mg, tablet",CIEL:73671,
250a2188-e405-4e71-8e4a-14e7b858047f,HU44,"Codeine phosphate, 2.5mg/mL, 100mL, bottle",CIEL:73671,
5a5446a5-3d3f-4ca2-891c-418a229b20b1,KE05,"Codeine phosphate, 30mg, tablet",CIEL:73671,
1156a9ca-14f3-4c57-9ed2-7154e82447c7,YF95,"Dapsone, 50 mg, tablet ",PIH:92,
4e7b6ee2-006e-4ff8-b58a-074c3c326ef7,YY57,"Dexamethasone 0.1 %/polymyxin B/neomycin sulphate 1% ear-drops, 10.5 mL bottle",CIEL:104425,
abc4ad79-bf56-46e3-b945-0762e0d3d491,CP79,"Dexamethasone sodium phosphate, 0.1% eye drops, 5 mL bottle",PIH:4036,
c08f2263-d176-4815-910f-d4d030bb5c40,PR20,"Dexamethasone sodium phosphate, 4 mg/mL, 1 mL ampoule",PIH:4036,
4b309e2d-efcc-43a4-a5db-28e0c8513934,JJ76,"Dextran '70' 0.1% / hypromellose 0.3 %, eye-drops, 15 mL bottle ",CIEL:104442,
13fd31e5-00eb-4220-98d0-df1e125f530a,FJ52,"Dextrose 5% in sodium chloride 0.45 %, intravenous infusion, 500 mL bottle",PIH:4037,
54050882-524f-46c2-b898-d514ee633ab0,JP56,"Dextrose 5%, intravenous infusion, 1000 mL bottle",PIH:4037,
8e8d17f2-f8e0-43c4-91dc-2d22260550d1,VM09,"Dextrose 5%, intravenous infusion, 500 mL bottle",CIEL:161250,
5cda4d49-d70f-4b0c-a61e-a2a6df7705a5,BQ71,"Dextrose, 10% intravenous infusion, 500 mL bottle",PIH:4037,
47fe9a1e-3cae-41f6-a8f4-e8013e5fd802,HA07,"Dextrose, 50% in water, 50 mL vial",PIH:4037,
39d7a7ee-b0ff-48e0-a7ca-685688147c8f,MD24,"Diazepam, 5 mg, tablet ",PIH:247,
923e3e90-8b5c-4ae6-b17f-b6d547803437,HD34,"Diazepam, 5mg/mL, 2mL, ampoule",PIH:247,
b5f01af3-b4c0-45f6-bbd7-aa2e9e846987,MK84,"Diclofenac sodium, 25 mg/mL, 3mL ampoule ",CIEL:74782,
e44e484e-90ec-41ca-aec1-e3190d7be626,GS93,"Digoxin, 250 microgram, tablet ",PIH:3488,
cf38a1ec-9bf0-4760-8329-af3b6374be64,BD97 (QH10),"Digoxin, 250 microgram/mL, 2mL ampoule ",PIH:3488,
858cdd08-c183-4358-9e26-593e83b86320,SH92,"Digoxin, 50 microgram/mL elixir, 60 mL bottle ",PIH:3488,
45cb0387-7f75-4868-b750-1eada15f0ce7,QR49,"Diltiazem hydrochloride, 5mg/mL, 1mL ampoule",CIEL:74921,
81694757-3336-4195-ac6b-ea574b9b8597,YY23,"Diphenhydramine hydrochloride, 25 mg, tablet ",CIEL:75018,
b476d417-800f-4e2e-89ec-09de8fd07607,BT58,"Diphenhydramine hydrochloride, 50mg/mL, 1mL ampoule",CIEL:75018,
1b07efc5-1292-4a47-8f5d-390716e946ef,FA02,"Docusate sodium, 50 mg, tablet ",CIEL:75121,
06ed8ebd-91ba-4a4b-9355-73ee6499f845,UU58,"Dopamine hydrochloride, 40 mg/ mL, 5mL ampoule ",CIEL:75178,
8aad2a23-2977-4b5b-a30a-4a9142ce774b,KT19,"Doxycycline, 100mg, tablet ",PIH:95,
4efe3f48-2656-4178-bfcd-c6d103851084,PT61,"Enalapril maleate, 5 mg, tablet ",CIEL:75634,
c4dacfd7-2599-4bde-9425-dfddb9b8a4ae,XE60,"Enoxaparin 100 mg/ml, 1 ml prefilled syringe (clexane)",PIH:7438,
c155593e-12f3-42aa-a592-25a1cad7bbb7,GP71,"Ephedrine hydrochloride, 30 mg/mL, 1 mL ampoule ",CIEL:75722,
82f4f009-d17b-44c9-b42b-0e080fda0572,BV29,"Ergometrine maleate, 500 microgram, tablet",CIEL:75801,
1ff620f2-f9c7-4fcd-8a52-6f02b1167563,RZ46,"Erythromycin 125 mg/ 5 mL, powder for suspension, 100 mL bottle ",PIH:272,
b3df9e4b-3cd0-4412-a250-4c4e6783d3c2,TS73,"Erythromycin sterate,  500 mg, film coated tablet ",CIEL:75847,
0fd43a17-122e-45fe-9cda-35414bcfff52,ZV56,"Etomidate, 2 mg/mL, 10 mL ampoule ",CIEL:76021,
6f54bcac-4ccd-491c-9ecc-8ca796e791c2,FE57,"Fentanyl hydrogen citrate, 50 micrograms/mL, 2mL, ampoule",CIEL:76273,
0b433dae-5df2-400e-b558-8e9e8cf8417e,KV27,"Fentanyl, 25 microgram/hour, transdermal patch",CIEL:76272,
33ec6eca-1f62-4ebc-acea-f5524c2b4f40,JH38,"Ferrous sulphate 200 mg + folic acid 250 microgram, tablet ",PIH:773,
f5636dce-c682-48c0-8ffb-2db9a3a790d8,ST04,"Ferrous sulphate, 200 mg (40 mg Fe)/5 mL oral solution, 100 mL bottle ",PIH:256,
74f565ce-c515-41b2-bbd4-29fc6416231b,AK60,"Fluconazole, 200 mg, tablet ",PIH:747,
cf0037b9-f5a9-4f39-a287-a3e09f02557b,YK08,"Fluconazole, 200 mg/5 mL powder for suspension, 35 mL bottle ",PIH:747,
a26f9777-4972-46aa-9072-9fddabc2e688,FT24,"Flumazenil, 100 microgrmas /mL, 5 mL ampoule ",CIEL:76500,
4ec74967-47e6-4f6d-882b-8c2efd466a7b,KG28,"Fluoxetine hydrochloride, 20 mg, capsule ",CIEL:76553,
7f7178bd-a1f8-44dd-85a9-02e49065e56b,CP21,"Fluoxetine hydrochloride, 20 mg, scored tablet  ",CIEL:76553,
6241e56b-ec9c-4c5b-a79c-1ce6481b1acb,EN02,"Folic acid, 5 mg, tablet ",PIH:257,
2e454fbe-99f4-491f-9a89-9107c3293974,YG28 ,"Furosemide, 10 mg/ mL, 2mL ampoule ",PIH:99,
fb5842a2-60ef-4539-b428-f99a1f76c85f,MH02,"Furosemide, 40 mg, tablet ",PIH:99,
214f8c89-0476-403c-a45e-e725a241394b,EP56,"Furosemide, 50mg/5 mL oral solution, 150 mL bottle ",PIH:99,
86fa52bf-704d-4a0f-9b45-320740bc4098,GU88,"Gabapentin, 100mg,  capsule ",CIEL:76750,
009b94f2-6c53-471c-aa7a-38d05257d71c,ZH44,"Gabapentin, 400mg,  capsule ",CIEL:76750,
ca4a470d-2b7f-4ff9-b543-6c59d579d6c5,BH43,"Gelatine modified, 4%, 500mL bag",CIEL:84388,
a9330ce0-7369-41ea-98c7-1cda24a2afa2,EV06,"Gentamicin sulphate, 0.5 % (0.3 % base), eye/ear drops, 10 mL bottle ",CIEL:76942,
b09cd1eb-b44d-40ca-af48-49c373c408ea,BN13,"Gentamicin, 40 mg/mL, 2mL ampoule ",PIH:100,
480fc7de-cf17-489e-9182-5e315ed93b0c,HK55,"Gentian violet crystals, 25 gram, container ",PIH:323,
5c21704a-6268-4854-845d-55c573bed967,MS98,"Glibenclamide, 5 mg, tablet ",PIH:4046,
0435c900-6608-4bab-b136-0271adcaa719,XK10,"Glucagon hydrochloride, 1 mg, + syringe + solvent, 2.5 mL vial",CIEL:77039,
f63fdda4-6a47-4cd0-9a51-7a5404b65997,TJ04,"Glutaraldehyde, 2% + activator, 5 liter can ",CIEL:77064,
81f45c51-9561-4e89-bf45-ceced109da05,JT59,"Glycerin, 2 gram, suppository ",CIEL:77073,
a3a42b6c-d1cd-4f40-9d58-998eb4ecc8b3,BP63,"Glycopyrronium  bromide, 200micrograms/mL, 3 mL ampoule ",CIEL:77083,
99dd299c-6b7a-4b41-a705-823ca4396107,VA15,"Griseofulvin, 125 mg, tablet ",PIH:3679,
280353a2-3da7-480b-ab58-03dcd401d3ff,XF53,"Griseofulvin, 500 mg, tablet ",PIH:3679,
c1f95407-9517-4eb5-af8d-d633293f4793,KS06,"Haloperidol, 1mg, tablet ",PIH:4047,
23f2d94b-3072-4e86-b737-d5ccded81bc0,YQ12,"Haloperidol, 5 mg, tablet ",PIH:4047,
a8541367-1eb0-4144-9cc7-41a909902d5d,EU83,"Haloperidol, 5 mg/mL, 1 mL ampoule ",PIH:4047,
f7d73b6b-1248-483b-b334-8f0510ed46bb,TS48,"Heparin sodium, 5,000 international units/mL, 5 mL ampoule ",CIEL:77414,
096dae85-9eee-466b-b059-9f5dd13af242,FQ12,"Hydralazine hydrochloride, 20 mg, powder for injection ",CIEL:77676,
2ff6dfce-cd7e-4a1c-9916-f398c4aaec1f,EN77,"Hydralazine hydrochloride, 25 mg, tablet ",CIEL:77676,
ce857097-f7a1-4178-b018-a8067a5710d1,GT60,"Hydrochlorothiazide, 25 mg, tablet ",PIH:1243,
a811008f-05fd-4f30-b50c-4d3636472db5,XK47,"Hydrocortisone acetate, 1%, cream, 15 gram tube ",CIEL:77719,
68f687c0-2875-4934-a060-825be42943e2,QF79,"Hydrogen peroxide topical, 3%, 500mL bottle ",PIH:313,
0f0b85a4-b06b-484e-8213-3fe38279e3ad,JK14,"Hydroxycarbamide, 500mg, tablet ",PIH:7658,
74583b5e-80ec-4413-96b4-67907c98e443,ZC70,"Hyoscine butylbromide, 1.5 mg, patch",PIH:431,
8f2d1a7e-4ddb-4805-bf7e-1fb765592124,TF88,"Hyoscine butylbromide, 10 mg, film coated tablet ",PIH:431,
9cfb1288-2db4-4ca6-b3f8-da4d85058e42,JQ38,"Hyoscine butylbromide, 20 mg/mL, 1 mL ampoule ",PIH:431,
49f646b5-c9a3-47e7-9fc2-bb187673b838,GG30,"Ibuprofen, 100mg/5mL , 100mL bottle ",PIH:912,
36e09631-e6d8-41c9-92d2-c945750a39b9,DF06,"Ibuprofen, 400 mg, tablet ",PIH:912,
05868029-c96e-49c1-90b8-a35f8a4059c5,JV84,"Imiquimod, 5% cream, 500mg sachet",CIEL:77956,
77077171-df0f-43c8-9a6b-245914fc143b,YC07,"Insulin mixtard (30/70) 100 internatinal units/mL, 10 mL vial",PIH:6746,
def06cd2-c046-4afc-9a49-475d3481cbcf,HA81,"Insulin neutral (human) 100 internatinal units/mL, 10 mL vial",CIEL:78082,
568b5484-1f52-424a-a45d-3f1c9e0d92d6,MA41,"Insulin NPH (human) 100 internatinal units/mL, 10 mL vial",CIEL:78068,
433be56e-469b-4d38-a91c-1a1937e086b7,MM46,"Iodized oil, 200 mg, capsule ",CIEL:75974,
8b6830f5-8807-4be1-9062-37388a737a0c,RQ63,"Ipratropium bromide, 250 microgram/mL solution for nebuisation, 2mL ampoule ",CIEL:78200,
f540ba7b-160f-46d2-97f6-104e2a5f5655,XN57,"Iron dextran, 50 mg /mL, 2mL ampoule ",CIEL:78230,
35f29edc-d591-43ea-a16f-cbd998ec7807,EC05,"Isoflurane, 250 mL, bottle ",CIEL:78258,
95518896-df94-4e7d-b233-cc5af823975a,CZ30,"Isosorbide dinitrate, 20 mg, extended release tablet ",PIH:3428,
6a210d68-871e-4f44-8dc4-e92ff69da458,BU64,"Isosorbide dinitrate, 5mg, sublingual tablet ",PIH:3428,
e2ea0ba6-5069-4cc5-a50e-472f992c1707,HG25,"Ketamine hydrochloride, 50mg/mL, 10mL, vial",CIEL:78468,
2c151c1a-5159-4181-aed4-450bb562d2d0,DK25,"Labetalol, 5mg/mL, 20mL vial ",CIEL:78599,
aa455dc6-7e45-4859-82e6-4392407b2dc2,DX86,"Lactulose, 3.33 g/5 mL syrup, 500 mL bottle  ",CIEL:78632,
1af24d20-29f7-45da-88ec-f5cd2458d6e9,XH01,"Levothyroxine sodium, 100 microgram, tablet ",CIEL:78809,
a35cc637-e2b7-4538-a495-efb77b13a524,VZ03,"Levothyroxine sodium, 25 microgram, tablet",CIEL:78809,
e87f6cb0-de6f-4658-9ba1-246b8f9b79fa,TR97,"Lidocaine hydrochloride, 1%, 20 mL vial",CIEL:78850,
6671d643-75f9-44bc-9f3a-ddddd0c1eed5,KP69,"Lidocaine hydrochloride, 1%, with adrenaline 1:200,000,  20 mL vial",CIEL:104584,
56dbb380-9584-4c21-9652-a2f43cbc3f33,XH23,"Lidocaine hydrochloride, 2% topical gel, 30 gram tube",CIEL:78850,
4534a926-8dc4-440b-bdf9-f9e96d282a28,JG33,"Lisinopril, 20mg, tablet",PIH:3183,
d0876723-9087-4ea5-b26d-d46cf914835f,BC88,"Lisinopril, 5mg, tablet",PIH:3183,
3c9fa00d-f14f-4bd5-bca8-edeb88cad587,KG59,"Loperamide hydrochloride, 2 mg, tablet",CIEL:79038,
0bb5dfe8-8a9e-4253-893a-7cb12b6314d6,MB19,"Lubricant jelly, 45 gram, tube",CIEL:162138,
7518d870-c206-4a88-a4a4-704939753cec,PA07,"Magnesium carbonate 11.57 g/citric acid 17.79 g, effervescent powder, 29.5 gram sachet",CIEL:162137,
d3817c4c-2b55-4bda-9a68-bdb124851df3,UJ43,"Magnesium sulphate, 500 mg/mL (50 %), 10 mL ampoule",CIEL:79247,
219685e2-dcb1-48f8-b4ff-1d19325ce097,AA68,"Magnesium trisilicate 250 mg/aluminium hydroxide 120 mg, tablet",PIH:314,
eaa471de-45c5-4fdf-af95-3f17ddb43461,NU92,"Mannitol, 20% solution, 500 mL bottle",CIEL:79303,
73ab0bc6-73ee-486d-b79a-362b423b2233,ER46,"Mebendazole, 100 mg, tablet",PIH:244,
afd2cd78-4dc6-4e91-ac9f-51b9e094e34a,FS17,"Metformin hydrochloride, 500 mg, tablet",CIEL:79652,
70123af9-a72a-4f6e-a188-140d905a84be,EE85,"Methyldopa, 250 mg, film coated tablet",PIH:251,
7cbff751-d2f2-4d52-9060-c00b77c28b5a,TY23,"Methylergometrine maleate, 200 microgram/mL, 1 mL ampoule",CIEL:79730,
2573e237-e8f0-433c-bda6-a40178730d22,JT62,"Methylprednisolone sodium succinate, 125 mg + solvent, powder for reconstitution",CIEL:70035,
1db5bfe6-73f8-4845-8875-bfca42dedbd9,MA81,"Metoclopramide hydrochloride, 5 mg/mL, 2 mL ampoule",CIEL:79757,
30f0c0e3-04bd-4c5f-a8af-b3ec54c2d0aa,FQ73,"Metoprolol tartrate, 1 mg/mL, 5 mL ampoule ",CIEL:79767,
01bf21ba-3505-4221-ad41-d81e9aa5cc6e,TH07,"Metoprolol tartrate, 50 mg, tablet",CIEL:79767,
a6611b4a-6d64-4a6b-af16-ee2d2be33a48,CH08,"Metronidazole 125 mg/ 5 mL, powder for suspension, 100 mL bottle",PIH:237,
aed7a629-8b95-4942-b665-b35f42abe55d,GF97,"Metronidazole, 250 mg, tablet",PIH:237,
0829ce7d-35d8-4ffb-b9ba-dbac2f4494c0,JZ99,"Metronidazole, 5 mg/mL, 100 mL bottle for intravenous infusion",PIH:237,
3015bdd3-4eb4-44a3-91cd-817b79bc4dae,VQ61,"Metronidazole, 500 mg, vaginal tablet",PIH:237,
e0389253-0b50-4344-8c11-02d8f4968b8f,ZV27,"Miconazole nitrate 2 % cream, 30 gram tube",PIH:918,
093f7fc1-1eb1-4fdc-9697-2007828e544d,UH31,"Midazolam hydrochloride 5 mg base/mL, 1 mL ampoule",CIEL:79854,
bc570323-9f3d-4a73-bf09-b28cba07b59d,NT67,"Misoprostol, 100 microgram, tablet",CIEL:79984,
d61b9eb8-77ac-4949-9c47-2e14cabeaf9d,DR63,"Misoprostol, 200 microgram, tablet",CIEL:79984,
85e9b37a-b7b7-4ec9-84dc-c692b7c9187d,TH41,"Montelukast sodium, 10 mg, tablet",CIEL:80092,
b506bb3a-fb9c-4ce6-b06c-919ffdd8af3c,ZJ99,"Morphine hydrochloride, 10mg/mL, 1mL ampoule",CIEL:80107,
8112cd31-ae2a-11e4-ab27-0800200c9a66,ZY24,"Morphine sulphate, 10mg, immediate release tablet",PIH:4053,
33ab2f74-ef36-4552-8221-8ac1bf8be86f,XJ18,"Morphine sulphate, 15mg, immediate release tablet",PIH:4053,
9ee96930-9258-48b1-b4d2-b243d42084f7,FF51,"Morphine sulphate, 30mg, extended release tablet",PIH:4053,
7c0f11cb-9103-461a-a022-eac07fd1bde9,MY57,"Multivitamin syrup, 100mL bottle",PIH:461,
289217bb-143f-4a0c-aafa-b64f9de8bcac,FX57,"Multivitamin, coated tablet",PIH:461,
ed28440e-3aa0-4e5b-8102-7caaa3aa6234,GQ07,"Naloxone hydrochloride, 400microgram/mL, 1 mL ampoule",CIEL:80368,
74086f17-290a-420c-9beb-a48a9e976029,JZ92,"Neostigmine methylsulphate, 500 micrograms /mL, 1 mL ampoule",CIEL:80534,
d7937a60-a75b-42f6-9200-cd0e895606c0,AB45,"Nifedipine, 20 mg, extended release tablet",PIH:250,
e2d08fbe-5772-4721-a128-90a064c5c21a,UN82,"Nitroglycerin, 1 mg/mL, 50 mL vial",CIEL:80704,
32cdeae7-8106-4ac4-9503-b53686167c5b,RE08,"Nitroglycerin, 500 microgram, tablet",CIEL:80704,
e62195c1-0180-4d3d-b724-fc83fc6c6322,JV28,"Noradrenaline acid tartrate, 1 mg base/mL, 1 mL ampoule",CIEL:80779,
f1ea0247-cba8-40d3-b36b-2c63314ba775,KR58,"Nystatin, 100,000 internatinal units, vaginal inserts",PIH:919,
9b28cb67-999c-4fc3-aa9c-31237058fe1c,XD12,"Nystatin, 100,000 international units/mL oral suspension, 30 mL bottle",PIH:919,
4582259d-01df-4d08-ae6b-eebf651bdba6,MH90,"Ofloxacin, 0.3 % eye-drops, 5 mL bottle",PIH:1418,
